연번,호선,고유역번호(외부역코드),역명,수송연월,환승유입인원수
1,1,150,서울역(1),2022-01,728918
2,1,151,시청(1),2022-01,399623
3,1,152,종각,2022-01,679852
4,1,153,종로3가(1),2022-01,365374
5,1,154,종로5가,2022-01,449533
6,1,155,동대문(1),2022-01,175366
7,1,156,신설동(1),2022-01,217834
8,1,157,제기동,2022-01,366938
9,1,158,청량리,2022-01,392339
10,1,159,동묘앞(1),2022-01,165208
11,2,201,시청(2),2022-01,273182
12,2,202,을지로입구,2022-01,511464
13,2,203,을지로3가(2),2022-01,275094
14,2,204,을지로4가(2),2022-01,130235
15,2,205,동대문역사문화공원(2),2022-01,110940
16,2,206,신당(2),2022-01,168979
17,2,207,상왕십리,2022-01,178378
18,2,208,왕십리(2),2022-01,145292
19,2,209,한양대,2022-01,91224
20,2,210,뚝섬,2022-01,324764
21,2,211,성수,2022-01,572639
22,2,212,건대입구(2),2022-01,347425
23,2,213,구의,2022-01,239737
24,2,214,강변,2022-01,281432
25,2,215,잠실나루,2022-01,147139
26,2,216,잠실(2),2022-01,659026
27,2,217,잠실새내,2022-01,216242
28,2,218,종합운동장(2),2022-01,84485
29,2,219,삼성,2022-01,567974
30,2,220,선릉,2022-01,493695
31,2,221,역삼,2022-01,670232
32,2,222,강남,2022-01,894423
33,2,223,교대(2),2022-01,337504
34,2,224,서초,2022-01,213506
35,2,225,방배,2022-01,155477
36,2,226,사당(2),2022-01,347811
37,2,227,낙성대,2022-01,285885
38,2,228,서울대입구,2022-01,489571
39,2,229,봉천,2022-01,229672
40,2,230,신림,2022-01,680006
41,2,231,신대방,2022-01,295543
42,2,232,구로디지털단지,2022-01,695710
43,2,233,대림(2),2022-01,251100
44,2,234,신도림,2022-01,635997
45,2,235,문래,2022-01,283406
46,2,236,영등포구청(2),2022-01,251676
47,2,237,당산,2022-01,206798
48,2,238,합정(2),2022-01,414324
49,2,239,홍대입구,2022-01,908996
50,2,240,신촌,2022-01,441431
51,2,241,이대,2022-01,173917
52,2,242,아현,2022-01,106151
53,2,243,충정로(2),2022-01,101666
54,2,244,용답,2022-01,20788
55,2,245,신답,2022-01,9259
56,2,246,신설동(2),2022-01,52595
57,2,247,도림천,2022-01,20638
58,2,248,양천구청,2022-01,99374
59,2,249,신정네거리,2022-01,149989
60,2,250,용두,2022-01,20741
61,3,309,지축,2022-01,65811
62,3,310,구파발,2022-01,296033
63,3,311,연신내(3),2022-01,441878
64,3,312,불광(3),2022-01,214816
65,3,313,녹번,2022-01,180283
66,3,314,홍제,2022-01,226017
67,3,315,무악재,2022-01,54458
68,3,316,독립문,2022-01,91614
69,3,317,경복궁,2022-01,281245
70,3,318,안국,2022-01,317790
71,3,319,종로3가(3),2022-01,170839
72,3,320,을지로3가(3),2022-01,105913
73,3,322,동대입구,2022-01,137488
74,3,323,약수(3),2022-01,154369
75,3,324,금호,2022-01,104431
76,3,325,옥수,2022-01,134157
77,3,326,압구정,2022-01,593896
78,3,327,신사,2022-01,609131
79,3,328,잠원,2022-01,65334
80,3,329,고속터미널(3),2022-01,628481
81,3,330,교대(3),2022-01,122963
82,3,331,남부터미널,2022-01,537687
83,3,332,양재,2022-01,668538
84,3,333,매봉,2022-01,203139
85,3,334,도곡,2022-01,75995
86,3,335,대치,2022-01,158964
87,3,336,학여울,2022-01,26955
88,3,337,대청,2022-01,125677
89,3,338,일원,2022-01,139477
90,3,339,수서,2022-01,237387
91,3,340,가락시장(3),2022-01,105486
92,3,341,경찰병원,2022-01,117977
93,3,342,오금(3),2022-01,59931
