연번,호선,고유역번호(외부역코드),역명,수송연월,수송인원수
164,5,2555,둔촌동,2023-01,360154
165,5,2556,올림픽공원(5),2023-01,172220
166,5,2557,방이,2023-01,296089
167,5,2558,오금(5),2023-01,123873
168,5,2559,개롱,2023-01,254906
169,5,2560,거여,2023-01,411909
170,5,2561,마천,2023-01,308554
171,5,2562,강일,2023-01,199229
172,5,2563,미사,2023-01,664166
173,5,2564,하남풍산,2023-01,160412
174,5,2565,하남시청,2023-01,273460
175,5,2566,하남검단산,2023-01,238101
176,6,2611,응암,2023-01,756597
177,6,2612,역촌,2023-01,165830
178,6,2613,불광(6),2023-01,169187
179,6,2614,독바위,2023-01,117012
180,6,2616,구산,2023-01,300985
181,6,2617,새절,2023-01,521536
182,6,2618,증산,2023-01,424534
183,6,2619,디지털미디어시티(6),2023-01,610135
184,6,2620,월드컵경기장,2023-01,174028
185,6,2621,마포구청,2023-01,568542
186,6,2622,망원,2023-01,656520
187,6,2623,합정(6),2023-01,493145
188,6,2624,상수,2023-01,449082
189,6,2625,광흥창,2023-01,353896
190,6,2626,대흥,2023-01,340690
191,6,2627,공덕(6),2023-01,710776
192,6,2628,효창공원앞,2023-01,282736
193,6,2629,삼각지(6),2023-01,255532
194,6,2630,녹사평,2023-01,202757
195,6,2631,이태원,2023-01,478783
196,6,2632,한강진,2023-01,414343
197,6,2633,버티고개,2023-01,93863
198,6,2634,약수(6),2023-01,146583
199,6,2635,청구(6),2023-01,139202
200,6,2636,신당(6),2023-01,318789
201,6,2637,동묘앞(6),2023-01,348488
202,6,2638,창신,2023-01,142826
203,6,2639,보문,2023-01,308377
204,6,2640,안암,2023-01,463489
205,6,2641,고려대,2023-01,351214
206,6,2642,월곡,2023-01,504699
207,6,2643,상월곡,2023-01,266899
208,6,2644,돌곶이,2023-01,422936
209,6,2645,석계(6),2023-01,552748
210,6,2646,태릉입구(6),2023-01,233471
211,6,2647,화랑대,2023-01,457231
212,6,2648,봉화산,2023-01,391140
213,7,2711,장암,2023-01,73643
214,7,2712,도봉산(7),2023-01,360338
215,7,2713,수락산,2023-01,513686
216,7,2714,마들,2023-01,536612
217,7,2715,노원(7),2023-01,775532
218,7,2716,중계,2023-01,569115
219,7,2717,하계,2023-01,713713
220,7,2718,공릉,2023-01,478453
221,7,2719,태릉입구(7),2023-01,322410
222,7,2720,먹골,2023-01,415247
223,7,2721,중화,2023-01,420524
224,7,2722,상봉(7),2023-01,686113
225,7,2723,면목,2023-01,616758
226,7,2724,사가정,2023-01,663927
227,7,2725,용마산,2023-01,245366
228,7,2726,중곡,2023-01,441635
229,7,2727,군자(7),2023-01,543628
230,7,2728,어린이대공원,2023-01,537638
231,7,2729,건대입구(7),2023-01,504555
232,7,2730,뚝섬유원지,2023-01,334399
233,7,2731,청담,2023-01,740815
234,7,2732,강남구청,2023-01,630051
235,7,2733,학동,2023-01,938748
236,7,2734,논현,2023-01,680961
237,7,2735,반포,2023-01,223634
238,7,2736,고속터미널(7),2023-01,678040
239,7,2737,내방,2023-01,571627
240,7,2738,이수(7),2023-01,647343
241,7,2739,남성,2023-01,447545
242,7,2740,숭실대입구,2023-01,467947
243,7,2741,상도,2023-01,427867
244,7,2742,장승배기,2023-01,351734
245,7,2743,신대방삼거리,2023-01,589249
246,7,2744,보라매,2023-01,275285
247,7,2745,신풍,2023-01,461811
248,7,2746,대림(7),2023-01,371820
249,7,2747,남구로,2023-01,654714
250,7,2748,가산디지털단지(7),2023-01,1832635
251,7,2749,철산,2023-01,940773
252,7,2750,광명사거리,2023-01,918343
253,7,2751,천왕,2023-01,449666
254,7,2752,온수(7),2023-01,364677
255,8,2811,암사,2023-01,807313
256,8,2812,천호(8),2023-01,627751
257,8,2813,강동구청,2023-01,469513
258,8,2814,몽촌토성,2023-01,284806
259,8,2815,잠실(8),2023-01,693989
260,8,2816,석촌(8),2023-01,361010
261,8,2817,송파,2023-01,392448
262,8,2818,가락시장(8),2023-01,335643
263,8,2819,문정,2023-01,933728
264,8,2820,장지,2023-01,753916
265,8,2821,복정(8),2023-01,396455
266,8,2822,산성,2023-01,220177
267,8,2823,남한산성입구,2023-01,543542
268,8,2824,단대오거리,2023-01,498010
269,8,2825,신흥,2023-01,223277
270,8,2826,수진,2023-01,220212
271,8,2827,모란(8),2023-01,150969
272,8,2828,남위례,2023-01,261470
273,9,4126,언주,2023-01,522343
274,9,4127,선정릉,2023-01,481774
275,9,4128,삼성중앙,2023-01,359840
276,9,4129,봉은사,2023-01,932052
277,9,4130,종합운동장(9),2023-01,223163
278,9,4131,삼전,2023-01,338664
279,9,4132,석촌고분,2023-01,314240
280,9,4133,석촌(9),2023-01,407492
281,9,4134,송파나루,2023-01,268914
282,9,4135,한성백제,2023-01,119825
283,9,4136,올림픽공원(9),2023-01,369183
284,9,4137,둔촌오륜,2023-01,42635
285,9,4138,중앙보훈병원,2023-01,488587
286,1,150,서울역(1),2023-02,2401204
287,1,151,시청(1),2023-02,1202809
288,1,152,종각,2023-02,1924740
289,1,153,종로3가(1),2023-02,1185764
290,1,154,종로5가,2023-02,1220153
291,1,155,동대문(1),2023-02,508586
292,1,156,신설동(1),2023-02,603170
293,1,157,제기동,2023-02,844480
294,1,158,청량리,2023-02,936083
295,1,159,동묘앞(1),2023-02,453328
296,2,201,시청(2),2023-02,990461
297,2,202,을지로입구,2023-02,1847609
298,2,203,을지로3가(2),2023-02,949209
299,2,204,을지로4가(2),2023-02,515336
300,2,205,동대문역사문화공원(2),2023-02,491935
301,2,206,신당(2),2023-02,575251
302,2,207,상왕십리,2023-02,568436
303,2,208,왕십리(2),2023-02,599135
304,2,209,한양대,2023-02,310748
305,2,210,뚝섬,2023-02,981454
306,2,211,성수,2023-02,1754135
307,2,212,건대입구(2),2023-02,1408318
308,2,213,구의,2023-02,908708
309,2,214,강변,2023-02,1209022
310,2,215,잠실나루,2023-02,558066
311,2,216,잠실(2),2023-02,3021438
312,2,217,잠실새내,2023-02,857432
313,2,218,종합운동장(2),2023-02,321128
314,2,219,삼성,2023-02,2137918
315,2,220,선릉,2023-02,2024199
316,2,221,역삼,2023-02,2101008
317,2,222,강남,2023-02,3102880
318,2,223,교대(2),2023-02,1258012
319,2,224,서초,2023-02,850731
320,2,225,방배,2023-02,595408
321,2,226,사당(2),2023-02,1550569
322,2,227,낙성대,2023-02,1061563
323,2,228,서울대입구,2023-02,1794295
324,2,229,봉천,2023-02,905827
325,2,230,신림,2023-02,2189141
326,2,231,신대방,2023-02,992701
327,2,232,구로디지털단지,2023-02,2318510
328,2,233,대림(2),2023-02,941214
329,2,234,신도림,2023-02,2117211
330,2,235,문래,2023-02,921735
331,2,236,영등포구청(2),2023-02,853454
332,2,237,당산,2023-02,729929
333,2,238,합정(2),2023-02,1427962
334,2,239,홍대입구,2023-02,3057510
335,2,240,신촌,2023-02,1537105
336,2,241,이대,2023-02,602556
337,2,242,아현,2023-02,401211
338,2,243,충정로(2),2023-02,384904
339,2,244,용답,2023-02,99947
340,2,245,신답,2023-02,56133
341,2,246,신설동(2),2023-02,161240
342,2,247,도림천,2023-02,56925
343,2,248,양천구청,2023-02,299117
344,2,249,신정네거리,2023-02,443081
345,2,250,용두,2023-02,85978
346,3,309,지축,2023-02,273411
347,3,310,구파발,2023-02,896607
348,3,311,연신내(3),2023-02,1394394
349,3,312,불광(3),2023-02,670221
350,3,313,녹번,2023-02,605593
351,3,314,홍제,2023-02,722828
352,3,315,무악재,2023-02,178652
353,3,316,독립문,2023-02,308493
354,3,317,경복궁,2023-02,979004
355,3,318,안국,2023-02,1141681
356,3,319,종로3가(3),2023-02,461293
357,3,320,을지로3가(3),2023-02,422007
358,3,322,동대입구,2023-02,407498
359,3,323,약수(3),2023-02,520212
360,3,324,금호,2023-02,328223
361,3,325,옥수,2023-02,391378
362,3,326,압구정,2023-02,1516288
363,3,327,신사,2023-02,1405735
364,3,328,잠원,2023-02,202708
365,3,329,고속터미널(3),2023-02,2070885
366,3,330,교대(3),2023-02,536593
367,3,331,남부터미널,2023-02,1454818
368,3,332,양재,2023-02,1687606
369,3,333,매봉,2023-02,536550
370,3,334,도곡,2023-02,221288
371,3,335,대치,2023-02,510825
372,3,336,학여울,2023-02,112598
373,3,337,대청,2023-02,410298
374,3,338,일원,2023-02,441964
375,3,339,수서,2023-02,780996
376,3,340,가락시장(3),2023-02,360726
377,3,341,경찰병원,2023-02,326191
378,3,342,오금(3),2023-02,234139
379,4,409,당고개,2023-02,358606
380,4,410,상계,2023-02,757491
381,4,411,노원(4),2023-02,752545
382,4,412,창동,2023-02,1100409
383,4,413,쌍문,2023-02,1170658
384,4,414,수유,2023-02,1426685
385,4,415,미아,2023-02,598387
386,4,416,미아사거리,2023-02,1108904
387,4,417,길음,2023-02,856757
388,4,418,성신여대입구,2023-02,816840
389,4,419,한성대입구,2023-02,554705
390,4,420,혜화,2023-02,1672931
391,4,421,동대문(4),2023-02,826633
392,4,422,동대문역사문화공원(4),2023-02,596362
393,4,423,충무로(4),2023-02,1063764
394,4,424,명동,2023-02,1202710
395,4,425,회현,2023-02,1154921
396,4,426,서울역(4),2023-02,657391
397,4,427,숙대입구,2023-02,575890
398,4,428,삼각지(4),2023-02,264752
399,4,429,신용산,2023-02,823817
400,4,430,이촌,2023-02,493235
401,4,431,동작,2023-02,74156
402,4,432,이수(총신대입구),2023-02,931929
403,4,433,사당(4),2023-02,1097726
404,4,434,남태령,2023-02,58663
405,5,2511,방화,2023-02,264642
406,5,2512,개화산,2023-02,226218
407,5,2513,김포공항(5),2023-02,299133
408,5,2514,송정,2023-02,233004
409,5,2515,마곡,2023-02,409669
410,5,2516,발산,2023-02,833192
411,5,2517,우장산,2023-02,556064
412,5,2518,화곡,2023-02,1108796
413,5,2519,까치산(5),2023-02,1190755
414,5,2520,신정,2023-02,498931
415,5,2521,목동,2023-02,679803
416,5,2522,오목교,2023-02,913016
417,5,2523,양평(5),2023-02,291819
418,5,2524,영등포구청(5),2023-02,144732
419,5,2525,영등포시장,2023-02,427033
420,5,2526,신길(5),2023-02,167252
421,5,2527,여의도(5),2023-02,1138646
422,5,2528,여의나루,2023-02,526617
423,5,2529,마포,2023-02,621580
424,5,2530,공덕(5),2023-02,571043
425,5,2531,애오개,2023-02,276715
426,5,2532,충정로(5),2023-02,169549
427,5,2533,서대문,2023-02,767429
428,5,2534,광화문,2023-02,1255637
429,5,2535,종로3가(5),2023-02,567884
430,5,2536,을지로4가(5),2023-02,212236
431,5,2537,동대문역사문화공원(5),2023-02,122000
432,5,2538,청구(5),2023-02,145417
433,5,2539,신금호,2023-02,266689
434,5,2540,행당,2023-02,325405
435,5,2541,왕십리(5),2023-02,153979
436,5,2542,마장,2023-02,229541
437,5,2543,답십리,2023-02,681410
438,5,2544,장한평,2023-02,834698
439,5,2545,군자(5),2023-02,463791
440,5,2546,아차산,2023-02,618580
441,5,2547,광나루,2023-02,545628
442,5,2548,천호(5),2023-02,740807
443,5,2549,강동,2023-02,779163
444,5,2550,길동,2023-02,332340
445,5,2551,굽은다리,2023-02,383155
446,5,2552,명일,2023-02,352290
447,5,2553,고덕,2023-02,381366
448,5,2554,상일동,2023-02,581560
449,5,2555,둔촌동,2023-02,371384
450,5,2556,올림픽공원(5),2023-02,172950
451,5,2557,방이,2023-02,298772
452,5,2558,오금(5),2023-02,127842
453,5,2559,개롱,2023-02,265278
454,5,2560,거여,2023-02,419652
455,5,2561,마천,2023-02,316783
456,5,2562,강일,2023-02,206845
457,5,2563,미사,2023-02,676823
458,5,2564,하남풍산,2023-02,162073
459,5,2565,하남시청,2023-02,281796
460,5,2566,하남검단산,2023-02,242162
461,6,2611,응암,2023-02,761535
462,6,2612,역촌,2023-02,165073
463,6,2613,불광(6),2023-02,173250
464,6,2614,독바위,2023-02,118026
465,6,2616,구산,2023-02,306475
466,6,2617,새절,2023-02,526463
467,6,2618,증산,2023-02,428436
468,6,2619,디지털미디어시티(6),2023-02,622489
469,6,2620,월드컵경기장,2023-02,201064
470,6,2621,마포구청,2023-02,577334
471,6,2622,망원,2023-02,667547
472,6,2623,합정(6),2023-02,510556
473,6,2624,상수,2023-02,448491
474,6,2625,광흥창,2023-02,365468
475,6,2626,대흥,2023-02,352683
476,6,2627,공덕(6),2023-02,738218
477,6,2628,효창공원앞,2023-02,290273
478,6,2629,삼각지(6),2023-02,270379
479,6,2630,녹사평,2023-02,212724
480,6,2631,이태원,2023-02,497224
481,6,2632,한강진,2023-02,479679
482,6,2633,버티고개,2023-02,95523
483,6,2634,약수(6),2023-02,149987
484,6,2635,청구(6),2023-02,144128
485,6,2636,신당(6),2023-02,328524
486,6,2637,동묘앞(6),2023-02,374426
487,6,2638,창신,2023-02,140183
488,6,2639,보문,2023-02,313409
489,6,2640,안암,2023-02,499618
490,6,2641,고려대,2023-02,365224
491,6,2642,월곡,2023-02,511989
492,6,2643,상월곡,2023-02,271461
493,6,2644,돌곶이,2023-02,420759
494,6,2645,석계(6),2023-02,557561
495,6,2646,태릉입구(6),2023-02,234046
496,6,2647,화랑대,2023-02,468580
497,6,2648,봉화산,2023-02,395788
498,7,2711,장암,2023-02,80917
499,7,2712,도봉산(7),2023-02,371199
500,7,2713,수락산,2023-02,529014
501,7,2714,마들,2023-02,540472
502,7,2715,노원(7),2023-02,787137
503,7,2716,중계,2023-02,579966
504,7,2717,하계,2023-02,721843
505,7,2718,공릉,2023-02,503175
506,7,2719,태릉입구(7),2023-02,335712
507,7,2720,먹골,2023-02,418871
508,7,2721,중화,2023-02,425382
509,7,2722,상봉(7),2023-02,694621
510,7,2723,면목,2023-02,624518
511,7,2724,사가정,2023-02,672627
512,7,2725,용마산,2023-02,246790
513,7,2726,중곡,2023-02,449498
514,7,2727,군자(7),2023-02,550928
515,7,2728,어린이대공원,2023-02,552241
516,7,2729,건대입구(7),2023-02,505256
517,7,2730,뚝섬유원지,2023-02,350121
518,7,2731,청담,2023-02,769519
519,7,2732,강남구청,2023-02,653888
520,7,2733,학동,2023-02,967087
521,7,2734,논현,2023-02,692842
522,7,2735,반포,2023-02,230886
523,7,2736,고속터미널(7),2023-02,665325
524,7,2737,내방,2023-02,581117
525,7,2738,이수(7),2023-02,656046
526,7,2739,남성,2023-02,453587
527,7,2740,숭실대입구,2023-02,477290
528,7,2741,상도,2023-02,435695
529,7,2742,장승배기,2023-02,357585
530,7,2743,신대방삼거리,2023-02,594819
531,7,2744,보라매,2023-02,280985
532,7,2745,신풍,2023-02,467442
533,7,2746,대림(7),2023-02,347816
534,7,2747,남구로,2023-02,643406
535,7,2748,가산디지털단지(7),2023-02,1856971
536,7,2749,철산,2023-02,953132
537,7,2750,광명사거리,2023-02,915284
538,7,2751,천왕,2023-02,453438
539,7,2752,온수(7),2023-02,367648
540,8,2811,암사,2023-02,813223
541,8,2812,천호(8),2023-02,637510
542,8,2813,강동구청,2023-02,473813
543,8,2814,몽촌토성,2023-02,291894
544,8,2815,잠실(8),2023-02,683305
545,8,2816,석촌(8),2023-02,366881
546,8,2817,송파,2023-02,394121
547,8,2818,가락시장(8),2023-02,331754
548,8,2819,문정,2023-02,965379
549,8,2820,장지,2023-02,760290
550,8,2821,복정(8),2023-02,407911
551,8,2822,산성,2023-02,226828
552,8,2823,남한산성입구,2023-02,554352
553,8,2824,단대오거리,2023-02,518163
554,8,2825,신흥,2023-02,227295
555,8,2826,수진,2023-02,219562
556,8,2827,모란(8),2023-02,155457
557,8,2828,남위례,2023-02,276460
558,9,4126,언주,2023-02,537331
559,9,4127,선정릉,2023-02,501544
560,9,4128,삼성중앙,2023-02,366244
561,9,4129,봉은사,2023-02,1018291
562,9,4130,종합운동장(9),2023-02,234266
563,9,4131,삼전,2023-02,341352
564,9,4132,석촌고분,2023-02,320681
565,9,4133,석촌(9),2023-02,420100
566,9,4134,송파나루,2023-02,267011
567,9,4135,한성백제,2023-02,119099
568,9,4136,올림픽공원(9),2023-02,364290
569,9,4137,둔촌오륜,2023-02,45335
570,9,4138,중앙보훈병원,2023-02,502383
571,1,150,서울역(1),2023-03,2621315
572,1,151,시청(1),2023-03,1384674
573,1,152,종각,2023-03,2103771
574,1,153,종로3가(1),2023-03,1328451
575,1,154,종로5가,2023-03,1399454
576,1,155,동대문(1),2023-03,593752
577,1,156,신설동(1),2023-03,697710
578,1,157,제기동,2023-03,962942
579,1,158,청량리,2023-03,1102581
580,1,159,동묘앞(1),2023-03,545253
581,2,201,시청(2),2023-03,1100042
582,2,202,을지로입구,2023-03,2068409
583,2,203,을지로3가(2),2023-03,1063359
584,2,204,을지로4가(2),2023-03,581256
585,2,205,동대문역사문화공원(2),2023-03,610327
586,2,206,신당(2),2023-03,660631
587,2,207,상왕십리,2023-03,650152
588,2,208,왕십리(2),2023-03,710427
589,2,209,한양대,2023-03,679485
590,2,210,뚝섬,2023-03,1111325
591,2,211,성수,2023-03,1897585
592,2,212,건대입구(2),2023-03,1613826
593,2,213,구의,2023-03,1020551
594,2,214,강변,2023-03,1314285
595,2,215,잠실나루,2023-03,645329
596,2,216,잠실(2),2023-03,3154621
597,2,217,잠실새내,2023-03,974046
598,2,218,종합운동장(2),2023-03,396619
599,2,219,삼성,2023-03,2311784
600,2,220,선릉,2023-03,2223478
601,2,221,역삼,2023-03,2287394
602,2,222,강남,2023-03,3264006
603,2,223,교대(2),2023-03,1413171
604,2,224,서초,2023-03,941955
605,2,225,방배,2023-03,821281
606,2,226,사당(2),2023-03,1749110
607,2,227,낙성대,2023-03,1234110
608,2,228,서울대입구,2023-03,2090240
609,2,229,봉천,2023-03,1020058
610,2,230,신림,2023-03,2457641
611,2,231,신대방,2023-03,1137472
612,2,232,구로디지털단지,2023-03,2567905
613,2,233,대림(2),2023-03,1072543
614,2,234,신도림,2023-03,2347389
615,2,235,문래,2023-03,1019274
616,2,236,영등포구청(2),2023-03,943449
617,2,237,당산,2023-03,863659
618,2,238,합정(2),2023-03,1540733
619,2,239,홍대입구,2023-03,3384746
620,2,240,신촌,2023-03,1872183
621,2,241,이대,2023-03,881784
622,2,242,아현,2023-03,485682
623,2,243,충정로(2),2023-03,434109
624,2,244,용답,2023-03,138950
625,2,245,신답,2023-03,64281
626,2,246,신설동(2),2023-03,186927
627,2,247,도림천,2023-03,64052
628,2,248,양천구청,2023-03,348041
629,2,249,신정네거리,2023-03,510337
630,2,250,용두,2023-03,99115
631,3,309,지축,2023-03,320072
632,3,310,구파발,2023-03,1032015
633,3,311,연신내(3),2023-03,1597028
634,3,312,불광(3),2023-03,783366
635,3,313,녹번,2023-03,708046
636,3,314,홍제,2023-03,862467
637,3,315,무악재,2023-03,206601
638,3,316,독립문,2023-03,371724
639,3,317,경복궁,2023-03,1264420
640,3,318,안국,2023-03,1350612
641,3,319,종로3가(3),2023-03,526376
642,3,320,을지로3가(3),2023-03,474566
643,3,322,동대입구,2023-03,590470
644,3,323,약수(3),2023-03,594636
645,3,324,금호,2023-03,375581
646,3,325,옥수,2023-03,454200
647,3,326,압구정,2023-03,1657930
648,3,327,신사,2023-03,1506245
649,3,328,잠원,2023-03,239353
650,3,329,고속터미널(3),2023-03,2223388
651,3,330,교대(3),2023-03,624987
652,3,331,남부터미널,2023-03,1590530
653,3,332,양재,2023-03,1892814
654,3,333,매봉,2023-03,608967
655,3,334,도곡,2023-03,261504
656,3,335,대치,2023-03,564856
657,3,336,학여울,2023-03,152687
658,3,337,대청,2023-03,476910
659,3,338,일원,2023-03,514695
660,3,339,수서,2023-03,882740
661,3,340,가락시장(3),2023-03,404721
662,3,341,경찰병원,2023-03,364053
663,3,342,오금(3),2023-03,270646
664,4,409,당고개,2023-03,417919
665,4,410,상계,2023-03,883703
666,4,411,노원(4),2023-03,854606
667,4,412,창동,2023-03,1265824
668,4,413,쌍문,2023-03,1341381
669,4,414,수유,2023-03,1644732
670,4,415,미아,2023-03,721385
671,4,416,미아사거리,2023-03,1256352
672,4,417,길음,2023-03,1073463
673,4,418,성신여대입구,2023-03,1041294
674,4,419,한성대입구,2023-03,733867
675,4,420,혜화,2023-03,1888287
676,4,421,동대문(4),2023-03,971530
677,4,422,동대문역사문화공원(4),2023-03,720717
678,4,423,충무로(4),2023-03,1375830
679,4,424,명동,2023-03,1654480
680,4,425,회현,2023-03,1363381
681,4,426,서울역(4),2023-03,735406
682,4,427,숙대입구,2023-03,752229
683,4,428,삼각지(4),2023-03,285168
684,4,429,신용산,2023-03,900661
685,4,430,이촌,2023-03,480060
686,4,431,동작,2023-03,95636
687,4,432,이수(총신대입구),2023-03,1061014
688,4,433,사당(4),2023-03,1253353
689,4,434,남태령,2023-03,71355
690,5,2511,방화,2023-03,305344
691,5,2512,개화산,2023-03,258009
692,5,2513,김포공항(5),2023-03,321664
693,5,2514,송정,2023-03,262518
694,5,2515,마곡,2023-03,457978
695,5,2516,발산,2023-03,927386
696,5,2517,우장산,2023-03,658021
697,5,2518,화곡,2023-03,1277822
698,5,2519,까치산(5),2023-03,1349160
699,5,2520,신정,2023-03,568761
700,5,2521,목동,2023-03,782845
701,5,2522,오목교,2023-03,1035367
702,5,2523,양평(5),2023-03,325814
703,5,2524,영등포구청(5),2023-03,162513
704,5,2525,영등포시장,2023-03,482218
705,5,2526,신길(5),2023-03,195502
706,5,2527,여의도(5),2023-03,1256404
707,5,2528,여의나루,2023-03,814938
708,5,2529,마포,2023-03,688484
709,5,2530,공덕(5),2023-03,642747
