연번,호선,역번호,역명,2021년1월,2021년2월,2021년3월,2021년4월,2021년5월,2021년6월,2021년7월,2021년8월,2021년9월,2021년10월,2021년11월,2021년12월
113,4,428,삼각지(4),153172,151320,200323,203997,198523,211368,184489,176670,179925,206376,222831,209429
114,4,429,신용산,523717,529461,667588,654901,641945,688130,596708,571727,568322,638871,740053,719743
115,4,430,이촌,256652,275601,342138,345480,350825,361001,312744,306531,305680,333641,355743,344024
116,4,431,동작,103687,105533,137061,142682,136832,139302,107507,98176,103572,103088,95810,78447
117,4,432,이수(총신대입구),758678,757476,933508,915026,897627,917452,830404,799642,814981,922274,929235,911156
118,4,433,사당(4),755362,766424,970257,955124,946580,960916,832122,798166,817643,946335,1033891,987704
119,4,434,남태령,43486,42760,57081,56323,54249,56085,47515,44709,47996,53349,59120,54977
120,5,2511,방화,218292,215100,268581,265117,258368,265945,242302,234315,235721,256803,269655,264674
121,5,2512,개화산,167691,169192,211706,212840,206855,214262,194633,188305,189874,209346,220986,217397
122,5,2513,김포공항(5),220999,249947,284610,290220,298443,292296,279913,264009,252989,292026,297626,296490
123,5,2514,송정,198263,199813,249300,248099,243517,242068,219923,212297,217167,237840,246872,239489
124,5,2515,마곡,292870,285431,374283,375552,364598,382415,351224,328489,321926,355745,398685,395549
125,5,2516,발산,575121,585702,764473,755535,736090,761340,669971,642746,648170,729607,799748,772850
126,5,2517,우장산,434445,438340,558245,557527,538714,553915,485627,470897,481011,529077,570410,552280
127,5,2518,화곡,902462,892351,1104344,1091900,1060540,1087354,990551,946433,952569,1041635,1103772,1095672
128,5,2519,까치산(5),1005142,992396,1221056,1212666,1178511,1195043,1099600,1055495,1062613,1157719,1210640,1203954
129,5,2520,신정,425766,414770,518971,515373,493832,509343,463970,439838,438567,478637,514495,509586
130,5,2521,목동,576807,568672,705647,695197,673494,696945,623315,597165,595844,650659,693262,682835
131,5,2522,오목교,762506,770657,937843,918477,899967,913372,828023,782835,769226,857109,916674,915584
132,5,2523,양평(5),243021,233645,289409,285046,270991,286401,256644,242151,237324,259355,286302,288377
133,5,2524,영등포구청(5),112194,108574,136273,133761,124979,131571,120145,111560,111484,119803,129633,127624
134,5,2525,영등포시장,300994,299804,374219,369938,357535,369313,332420,317967,315951,356913,394545,392254
135,5,2526,신길(5),128493,126367,158123,155610,148191,153777,139571,133345,130931,146244,157808,158048
136,5,2527,여의도(5),830813,853826,1161072,1101241,1005343,1083837,902491,863184,836446,933454,1098446,1094559
137,5,2528,여의나루,254439,356204,618923,657261,634325,560846,370865,383522,499042,528140,474456,377792
138,5,2529,마포,494745,484997,603694,598694,566169,594355,526866,499939,491969,543146,610384,605444
139,5,2530,공덕(5),452579,450470,574641,563342,517313,551556,478891,446427,445324,493799,557694,540809
140,5,2531,애오개,228704,222410,281176,279165,264441,279228,250431,235637,232485,252466,276304,274109
141,5,2532,충정로(5),145040,140769,185834,182302,169677,182325,159818,146813,146900,159015,179970,176500
142,5,2533,서대문,595802,582795,729984,722006,669678,731807,649195,611152,600841,662656,756609,724563
143,5,2534,광화문,929432,943984,1159984,1115107,1067185,1131749,1011007,948851,923927,1019795,1197452,1173912
144,5,2535,종로3가(5),320573,374716,470366,456798,482085,475345,396963,389879,401378,480525,503595,476483
145,5,2536,을지로4가(5),152716,153246,195074,191547,181640,195151,174788,162692,162707,180863,196656,194023
146,5,2537,동대문역사문화공원(5),91348,86057,105994,102978,95220,105374,95091,90818,87052,94362,108615,109366
147,5,2538,청구(5),122486,119525,149372,146603,139972,145989,133644,127807,130425,139648,148410,146766
148,5,2539,신금호,216178,210979,266204,266024,255578,269683,237934,227767,236271,258991,274671,272983
149,5,2540,행당,274769,267145,333180,329314,320509,334361,296699,287017,287297,314180,334417,326087
150,5,2541,왕십리(5),126118,126333,155258,153670,151039,153725,142758,134988,134619,148548,157261,159871
151,5,2542,마장,188477,185434,222338,219843,214171,218213,195864,189274,199825,210573,225903,226614
152,5,2543,답십리,562577,542429,674764,664216,640155,661809,607044,577173,572515,624273,672472,679053
153,5,2544,장한평,676650,649779,811396,799203,768019,805881,744231,704922,694859,763403,827988,821039
154,5,2545,군자(5),363105,359660,448389,441260,433534,440313,401788,383303,380858,428445,451369,451252
155,5,2546,아차산,504161,503141,633812,649504,649826,612235,539909,531409,555055,617036,629655,613660
156,5,2547,광나루,406421,406277,510444,507780,499784,508338,448836,429792,441468,504497,533416,515963
157,5,2548,천호(5),594881,590409,714626,703151,704351,699019,641249,615715,612665,690172,712310,717284
158,5,2549,강동,689438,663322,820655,779384,749516,777792,710673,673842,663188,737734,787217,780964
159,5,2550,길동,280667,271646,330647,331878,324527,330449,307570,294150,290845,316231,333416,337292
160,5,2551,굽은다리,320712,311348,380594,377660,371727,385566,362604,341361,335229,368413,388007,394518
161,5,2552,명일,281815,280662,348531,351678,337955,348251,306974,292218,295285,330842,355492,347246
162,5,2553,고덕,287998,285149,361770,360937,347947,363280,330687,321742,322853,360993,379896,373278
163,5,2554,상일동,551278,550470,690783,626595,599788,626868,560921,527284,527751,579898,626034,610003
164,5,2555,둔촌동,301150,296377,368388,362213,355633,367467,333872,316304,315972,349412,369814,366731
165,5,2556,올림픽공원(5),128357,125759,160863,163283,163662,169599,151469,139953,147736,173664,178168,173377
166,5,2557,방이,239551,233143,286629,279268,274301,285645,257869,248829,249004,275131,296374,291255
167,5,2558,오금(5),108901,104104,133296,135319,127695,134296,121745,116520,116874,127069,136548,133139
168,5,2559,개롱,216480,212329,265843,264173,255595,266978,244254,232579,234772,257016,271852,265906
169,5,2560,거여,267444,263022,338933,336520,326241,348255,319265,309115,315639,353612,382346,381212
170,5,2561,마천,217334,212121,267866,270559,266641,276423,251598,239691,246473,277219,297243,294606
171,5,2562,강일,,,19882,124924,125454,133476,120437,117738,124871,142933,156287,154892
172,5,2563,미사,480959,463006,576965,585200,572850,593674,538694,525559,534666,604377,643081,636295
173,5,2564,하남풍산,168810,165998,199783,147360,145143,153552,142278,134964,136205,150329,161588,160069
174,5,2565,하남시청,,,31314,190896,194572,200442,184496,183056,196667,224466,238388,239009
175,5,2566,하남검단산,,,35582,195522,195062,195791,174072,171774,181062,205074,209734,211615
176,6,2611,응암,633146,623753,769522,767708,742302,763829,700034,668855,671812,731550,770769,764613
177,6,2612,역촌,139725,135506,164785,159869,160822,168496,162357,156483,152834,163001,172731,173507
178,6,2613,불광(6),136780,138414,174376,172433,171298,173081,156773,146699,146967,163622,169539,168409
179,6,2614,독바위,101698,100554,123013,121030,118861,121890,112223,107572,108403,117705,120388,117720
180,6,2616,구산,237344,235906,297388,296215,289299,297055,274460,266620,268733,293339,306348,303316
181,6,2617,새절,443857,439086,547295,547577,524964,542608,488235,464658,471118,516941,545780,534881
182,6,2618,증산,362614,356284,436720,432974,420972,431819,395882,379481,381639,416652,440415,437155
183,6,2619,디지털미디어시티(6),485692,470254,588920,584937,550325,587799,524677,492125,487654,533433,592221,578095
184,6,2620,월드컵경기장,152533,159069,200045,214007,205015,201060,177452,175400,198343,257578,199969,161227
185,6,2621,마포구청,469999,465176,571946,566111,551814,574384,531598,505748,497556,545715,587640,588311
186,6,2622,망원,510201,541944,641743,631801,645012,639655,566466,562060,578609,620997,632625,637365
187,6,2623,합정(6),357894,380967,466049,458669,462172,472020,404545,398955,399455,456763,477631,473692
188,6,2624,상수,278514,296348,358337,351247,364666,377609,314229,320039,314262,361080,389024,398501
189,6,2625,광흥창,277349,276864,350095,344700,332029,347637,314133,301165,300570,325148,356097,352713
190,6,2626,대흥,266228,261718,335185,327681,321932,333595,305722,294013,291695,314411,342055,329755
191,6,2627,공덕(6),566418,565797,711412,701388,657786,696797,611315,578796,579493,642026,717064,700275
192,6,2628,효창공원앞,230696,226990,284147,280000,273038,283570,251968,239834,243376,266410,288325,282566
193,6,2629,삼각지(6),158625,163157,210507,212369,210648,222791,193767,188137,190164,217486,232149,224517
194,6,2630,녹사평,162695,178092,220960,224912,233818,230709,187893,189811,202126,230014,222931,218952
195,6,2631,이태원,337047,379988,472751,467637,488213,477888,375325,370198,428877,547520,521209,494175
196,6,2632,한강진,252467,297790,378560,373982,354680,383963,324733,302159,330235,388024,399892,431571
197,6,2633,버티고개,83045,81167,99687,97711,96527,91119,78507,75755,74729,75087,83977,87740
198,6,2634,약수(6),119526,117680,145491,144697,140996,149410,138328,130779,132168,145460,152467,149078
199,6,2635,청구(6),120750,117553,148972,144690,139275,145433,134291,127385,128486,139322,145408,143974
200,6,2636,신당(6),248252,246753,318735,318479,310086,319548,301060,290499,297199,324296,328856,350986
201,6,2637,동묘앞(6),298406,299163,367174,367222,373457,363638,339532,323341,330093,362951,364948,352628
202,6,2638,창신,121000,117119,152358,150588,143674,150656,133206,126989,127601,137803,149800,147373
203,6,2639,보문,243420,239243,294088,290183,288013,292652,266860,253672,258517,280110,299445,298843
204,6,2640,안암,346212,351757,469942,453295,450062,455856,385327,370068,386512,430444,492949,465361
205,6,2641,고려대,272806,275338,345939,342132,335979,341693,299495,285712,293054,320322,352134,339162
206,6,2642,월곡,413604,402817,504121,495685,483660,496143,457983,434502,437970,478985,518262,507056
207,6,2643,상월곡,220378,213973,270491,269907,264467,272275,247934,235352,239436,261321,276774,267855
208,6,2644,돌곶이,309148,309115,399183,393976,388305,399781,361040,344980,346543,379694,423794,404487
209,6,2645,석계(6),467047,457915,567506,560916,550530,562521,508285,486300,493091,540787,577313,563437
210,6,2646,태릉입구(6),181367,182994,228219,225462,241231,228977,206582,200453,201244,222832,236889,230345
211,6,2647,화랑대,370603,368034,464304,465213,452645,471129,418497,398003,405729,455365,496734,480391
212,6,2648,봉화산,324668,315840,390597,384742,372035,389342,359098,338471,339201,370067,396582,389970
213,7,2711,장암,60064,62021,78509,79064,77961,81242,73236,69868,70966,77789,80109,74125
214,7,2712,도봉산(7),312880,312307,392316,400364,394867,399891,362936,341683,353932,401094,412794,388941
215,7,2713,수락산,440524,440235,540969,539696,534118,545955,498859,481029,486653,529008,537212,521226
216,7,2714,마들,430115,419879,513882,511523,498458,517239,479023,461570,463467,505610,536512,530289
217,7,2715,노원(7),615182,613785,748653,734434,727561,739390,693400,659480,653121,710184,747918,755275
218,7,2716,중계,464009,456587,576853,578219,555991,580541,518044,491158,504221,553856,586778,574835
219,7,2717,하계,581938,572014,715782,709559,690849,714144,640611,612781,623701,686051,731148,717501
220,7,2718,공릉,394252,391572,500176,493178,487130,495306,433246,413651,430528,477041,511790,501050
221,7,2719,태릉입구(7),246392,246725,307986,311753,334309,314997,282852,271775,275862,308479,325055,315960
222,7,2720,먹골,346757,337536,413550,406287,405593,411384,381858,364554,364496,401391,420023,415489
223,7,2721,중화,369455,357768,440845,438243,428246,435083,403331,384254,383243,415858,437501,431788
224,7,2722,상봉(7),568092,558375,681163,674470,664992,678659,617081,588552,588510,648449,686727,680632
225,7,2723,면목,536509,517372,651000,654913,626927,646079,587757,566030,566546,627261,670833,666587
226,7,2724,사가정,572888,561271,688746,680311,668216,685585,623941,598146,599432,656280,683745,669344
227,7,2725,용마산,210923,209886,258681,258724,253482,259006,234449,224532,228917,249462,263548,255761
228,7,2726,중곡,344990,336834,414214,407929,395431,407335,377989,362258,370419,407371,438578,454327
229,7,2727,군자(7),435782,426514,525917,521039,512310,523384,481105,458463,456729,502305,534530,534020
230,7,2728,어린이대공원,401342,387008,523280,538491,531299,515678,442601,423370,444109,494244,541595,503191
231,7,2729,건대입구(7),381146,367217,457020,443147,452194,449114,408213,396370,398256,445361,473775,479203
232,7,2730,뚝섬유원지,236494,273153,356845,427478,427836,393532,302799,305189,378827,379154,330462,292857
233,7,2731,청담,608735,589009,735669,721292,685293,720038,643844,602693,590992,662095,738055,726571
234,7,2732,강남구청,484679,469308,590620,585521,554246,588935,531913,505296,497312,554350,606196,601577
235,7,2733,학동,770409,725666,910031,898553,834359,908433,824951,762795,734989,816997,933801,930776
236,7,2734,논현,619825,600258,742290,733808,698137,742215,679360,640093,620490,681212,742939,741269
237,7,2735,반포,171389,169507,211613,209292,204423,210867,191997,183262,184188,201027,213413,209997
238,7,2736,고속터미널(7),460841,478351,568142,562650,574703,584935,502874,496350,518281,572429,617242,580322
239,7,2737,내방,467836,445758,544670,532511,514743,543552,504664,479633,473308,509170,556099,551283
240,7,2738,이수(7),500612,498576,616550,600138,592440,613267,558424,531189,528028,590890,625504,622576
241,7,2739,남성,369896,353940,437362,435136,426747,433984,398012,379422,377944,408889,436562,436731
242,7,2740,숭실대입구,370372,357474,476943,475227,448002,469831,394491,380043,400883,470428,518116,480915
243,7,2741,상도,321416,309083,391130,388937,388067,396285,356794,341218,344176,375608,407889,395247
244,7,2742,장승배기,305207,295248,362176,358939,347673,357120,328588,311638,311381,334703,352151,349816
245,7,2743,신대방삼거리,523472,499805,610768,608302,587401,610671,563981,539901,536199,580613,627175,624655
246,7,2744,보라매,301797,293738,369506,368886,354833,369795,331592,317719,320315,353730,383634,373612
247,7,2745,신풍,378958,369774,457077,455632,446377,462286,421444,398161,398559,440273,463034,450859
248,7,2746,대림(7),248189,253100,298247,296894,309716,316597,286197,282043,286902,307162,315876,307072
249,7,2747,남구로,526060,499078,602443,601082,578982,619573,572672,538430,529683,562412,607204,604797
250,7,2748,가산디지털단지(7),1550311,1457544,1802670,1790797,1644855,1822598,1658784,1520614,1483734,1593972,1810603,1778988
251,7,2749,철산,733913,718768,887831,885952,870380,893642,802557,760873,769164,831852,897016,887743
252,7,2750,광명사거리,761097,741212,905932,890666,877888,899704,825888,792948,801981,874722,919753,909150
253,7,2751,천왕,340170,333159,420934,423052,407224,428396,384827,362215,368879,402577,433606,427769
254,7,2752,온수(7),283346,271861,357959,353035,332518,354297,311969,291740,296676,331993,360885,347319
255,7,2753,까치울,220274,217425,279304,284185,277476,290758,261950,251143,255431,285896,297775,284524
256,7,2754,부천종합운동장,134179,132612,176752,170176,164209,172748,164218,151678,158575,168893,179623,182960
257,7,2755,춘의,307739,286011,351105,350146,333834,361920,343504,321379,319022,347524,378186,379328
258,7,2756,신중동,465577,458074,566435,560274,549110,580758,531145,496052,496103,549484,588215,584884
259,7,2757,부천시청,410673,405163,498779,492327,492389,518776,480976,456199,457323,506441,528757,534322
260,7,2758,상동,407962,409693,505183,496458,498759,534118,490135,462612,464324,528968,561628,555776
261,7,2759,삼산체육관,147222,149204,192071,198426,195243,214638,190153,181426,186276,205736,220202,216627
262,7,2760,굴포천,286928,282055,346223,343846,344417,372398,342581,326222,326282,361723,386216,385739
263,7,2761,부평구청(7),316981,310428,388433,387826,344309,284586,255631,241003,241613,264582,282614,277982
264,8,2811,암사,681469,659602,815152,806467,780306,809420,740070,710308,699698,765750,815335,811366
265,8,2812,천호(8),553101,539723,652561,630090,620525,629962,575022,548898,545453,610125,643369,651029
266,8,2813,강동구청,402902,383982,468923,456421,440234,463496,421251,400458,394650,429980,471156,471305
267,8,2814,몽촌토성,214447,205641,258963,265102,258066,264928,240390,230649,235029,275753,296715,278224
268,8,2815,잠실(8),487238,487619,582036,561754,570439,576859,518438,499884,494834,575917,612409,647942
269,8,2816,석촌(8),299745,292193,360779,353517,348456,353794,325806,314106,310220,345219,363057,367653
270,8,2817,송파,296445,283981,353829,343562,329223,339147,304212,289775,292114,321020,342993,338703
271,8,2818,가락시장(8),286354,277370,335085,327337,314280,320524,290590,276172,270293,294464,331736,324609
272,8,2819,문정,841951,787712,983282,968308,885331,966398,880574,820453,795566,874130,988645,975824
273,8,2820,장지,665361,621125,774433,753005,728818,755011,691687,650793,644521,720440,773843,775114
274,8,2821,복정(8),388801,378789,512386,507885,478080,499318,439896,414706,424145,484059,527519,478193
275,8,2822,산성,250378,236954,287296,282033,264901,264053,228788,218188,221296,250362,263735,242191
276,8,2823,남한산성입구,487025,462229,577170,588419,560289,585250,513286,490848,496449,560743,595991,585101
277,8,2824,단대오거리,393012,366862,451806,454475,441878,449597,412845,393184,391999,432612,455473,453312
278,8,2825,신흥,180389,167799,200637,198121,197092,196423,186346,177043,173243,185481,190529,194684
