연번,호선,고유역번호(외부역코드),역명,수송연월,수송인원수
1,1,150,서울역(1),2022-01,1817867
2,1,151,시청(1),2022-01,907397
3,1,152,종각,2022-01,1510584
4,1,153,종로3가(1),2022-01,1021499
5,1,154,종로5가,2022-01,1009266
6,1,155,동대문(1),2022-01,473477
7,1,156,신설동(1),2022-01,568506
8,1,157,제기동,2022-01,845594
9,1,158,청량리,2022-01,931116
10,1,159,동묘앞(1),2022-01,412234
11,2,201,시청(2),2022-01,806953
12,2,202,을지로입구,2022-01,1458784
13,2,203,을지로3가(2),2022-01,806819
14,2,204,을지로4가(2),2022-01,438723
15,2,205,동대문역사문화공원(2),2022-01,432179
16,2,206,신당(2),2022-01,525332
17,2,207,상왕십리,2022-01,536594
18,2,208,왕십리(2),2022-01,553238
19,2,209,한양대,2022-01,255697
20,2,210,뚝섬,2022-01,869542
21,2,211,성수,2022-01,1488887
22,2,212,건대입구(2),2022-01,1311681
23,2,213,구의,2022-01,839901
24,2,214,강변,2022-01,1072564
25,2,215,잠실나루,2022-01,493249
26,2,216,잠실(2),2022-01,2510568
27,2,217,잠실새내,2022-01,763324
28,2,218,종합운동장(2),2022-01,278088
29,2,219,삼성,2022-01,1845453
30,2,220,선릉,2022-01,1810127
31,2,221,역삼,2022-01,1904246
32,2,222,강남,2022-01,3099704
33,2,223,교대(2),2022-01,1141033
34,2,224,서초,2022-01,741574
35,2,225,방배,2022-01,553707
36,2,226,사당(2),2022-01,1297462
37,2,227,낙성대,2022-01,982780
38,2,228,서울대입구,2022-01,1714387
39,2,229,봉천,2022-01,834443
40,2,230,신림,2022-01,2329667
41,2,231,신대방,2022-01,976342
42,2,232,구로디지털단지,2022-01,2156963
43,2,233,대림(2),2022-01,870455
44,2,234,신도림,2022-01,1859119
45,2,235,문래,2022-01,800384
46,2,236,영등포구청(2),2022-01,809848
47,2,237,당산,2022-01,659123
48,2,238,합정(2),2022-01,1242846
49,2,239,홍대입구,2022-01,2469622
50,2,240,신촌,2022-01,1304171
51,2,241,이대,2022-01,495287
52,2,242,아현,2022-01,359478
53,2,243,충정로(2),2022-01,339745
54,2,244,용답,2022-01,94723
55,2,245,신답,2022-01,51402
56,2,246,신설동(2),2022-01,151423
57,2,247,도림천,2022-01,55456
58,2,248,양천구청,2022-01,272408
59,2,249,신정네거리,2022-01,412751
60,2,250,용두,2022-01,84588
61,3,309,지축,2022-01,178451
62,3,310,구파발,2022-01,820732
63,3,311,연신내(3),2022-01,1386164
64,3,312,불광(3),2022-01,633342
65,3,313,녹번,2022-01,566829
66,3,314,홍제,2022-01,662653
67,3,315,무악재,2022-01,153970
68,3,316,독립문,2022-01,264910
69,3,317,경복궁,2022-01,773667
70,3,318,안국,2022-01,813456
71,3,319,종로3가(3),2022-01,420237
72,3,320,을지로3가(3),2022-01,356183
73,3,322,동대입구,2022-01,329342
74,3,323,약수(3),2022-01,480376
75,3,324,금호,2022-01,310686
